[2/2 17:07:51] Players: 1, RAMused: 54.13 MB
[2/2 17:04:51] Players: 1, RAMused: 52.98 MB
[2/2 17:01:51] Players: 1, RAMused: 52.38 MB
[2/2 16:58:51] Players: 1, RAMused: 52.42 MB
[2/2 16:55:51] Players: 1, RAMused: 51.3 MB
[2/2 16:52:51] Players: 1, RAMused: 50.99 MB
[1/30 17:53:39] Players: 8, RAMused: 75.67 MB
[1/30 17:50:39] Players: 7, RAMused: 75.92 MB
[1/30 17:47:39] Players: 6, RAMused: 75.53 MB
[1/30 17:44:39] Players: 7, RAMused: 76.05 MB
[1/30 17:41:39] Players: 7, RAMused: 75.3 MB
[1/30 17:38:39] Players: 9, RAMused: 74.6 MB
[1/30 17:35:39] Players: 9, RAMused: 74.32 MB
[1/30 17:32:39] Players: 11, RAMused: 74.95 MB
[1/30 17:29:39] Players: 11, RAMused: 74.6 MB
[1/30 17:26:39] Players: 11, RAMused: 74.86 MB
[1/30 17:23:39] Players: 11, RAMused: 74.32 MB
[1/30 17:20:39] Players: 11, RAMused: 72.46 MB
[1/30 17:17:39] Players: 11, RAMused: 72.06 MB
[1/30 17:14:39] Players: 12, RAMused: 71.59 MB
[1/30 17:11:39] Players: 12, RAMused: 71.23 MB
[1/30 17:08:39] Players: 10, RAMused: 74.3 MB
[1/30 17:05:39] Players: 9, RAMused: 73.85 MB
[1/30 17:02:39] Players: 9, RAMused: 74.15 MB
[1/30 16:59:39] Players: 8, RAMused: 74.45 MB
[1/30 16:56:39] Players: 7, RAMused: 74.41 MB
[1/30 16:53:39] Players: 7, RAMused: 74 MB
[1/30 16:50:39] Players: 6, RAMused: 73.79 MB
[1/30 16:47:39] Players: 6, RAMused: 73.68 MB
[1/30 16:44:39] Players: 6, RAMused: 72.9 MB
[1/30 16:41:39] Players: 5, RAMused: 72.88 MB
[1/30 16:34:57] Players: 13, RAMused: 73.02 MB
[1/30 16:31:57] Players: 12, RAMused: 72 MB
[1/30 16:28:57] Players: 12, RAMused: 72.47 MB
[1/30 16:25:57] Players: 12, RAMused: 72.06 MB
[1/30 16:22:57] Players: 13, RAMused: 72.41 MB
[1/30 16:19:57] Players: 13, RAMused: 72.23 MB
[1/30 16:16:57] Players: 12, RAMused: 71.56 MB
[1/30 16:13:57] Players: 13, RAMused: 72.77 MB
[1/30 16:10:57] Players: 13, RAMused: 72.55 MB
[1/30 16:07:57] Players: 14, RAMused: 72.03 MB
[1/30 16:04:57] Players: 14, RAMused: 72.06 MB
[1/30 16:01:57] Players: 15, RAMused: 70.98 MB
[1/30 15:58:57] Players: 14, RAMused: 70.66 MB
[1/30 15:55:57] Players: 14, RAMused: 71.2 MB
[1/30 15:52:57] Players: 13, RAMused: 70.84 MB
[1/30 15:49:57] Players: 14, RAMused: 69.71 MB
[1/30 15:46:57] Players: 13, RAMused: 68.51 MB
[1/30 15:43:57] Players: 13, RAMused: 68.7 MB
[1/30 15:40:57] Players: 13, RAMused: 67.37 MB
[1/30 15:37:57] Players: 12, RAMused: 65.4 MB
[1/30 15:34:57] Players: 12, RAMused: 64.45 MB
[1/30 15:31:57] Players: 12, RAMused: 63.47 MB
[1/30 15:28:57] Players: 11, RAMused: 62.22 MB
[1/30 15:25:57] Players: 11, RAMused: 59.9 MB
[1/30 15:22:57] Players: 10, RAMused: 56.75 MB
[1/30 15:19:57] Players: 10, RAMused: 53.51 MB
[1/30 15:14:48] Players: 9, RAMused: 53.15 MB
[1/30 15:06:16] Players: 8, RAMused: 74.83 MB
[1/30 15:03:16] Players: 7, RAMused: 74.71 MB
[1/30 14:55:40] Players: 14, RAMused: 77.02 MB
[1/30 14:52:40] Players: 11, RAMused: 77.07 MB
[1/30 14:49:40] Players: 11, RAMused: 76.38 MB
[1/30 14:46:40] Players: 9, RAMused: 77.16 MB
[1/30 14:43:40] Players: 10, RAMused: 76.8 MB
[1/30 14:40:40] Players: 10, RAMused: 76.71 MB
[1/30 14:37:40] Players: 9, RAMused: 76.46 MB
[1/30 14:34:40] Players: 8, RAMused: 76.63 MB
[1/30 14:31:40] Players: 8, RAMused: 76.62 MB
[1/30 14:28:40] Players: 8, RAMused: 75.9 MB
[1/30 14:25:40] Players: 8, RAMused: 76.07 MB
[1/30 14:22:40] Players: 8, RAMused: 75.53 MB
[1/30 14:19:40] Players: 7, RAMused: 75.42 MB
[1/30 14:16:40] Players: 7, RAMused: 75.18 MB
[1/30 14:13:40] Players: 7, RAMused: 75.77 MB
[1/30 14:10:40] Players: 6, RAMused: 75.61 MB
[1/30 14:07:40] Players: 8, RAMused: 75.17 MB
[1/30 14:04:40] Players: 9, RAMused: 74.59 MB
[1/30 14:01:40] Players: 7, RAMused: 73.71 MB
[1/30 13:58:40] Players: 5, RAMused: 73.3 MB
[1/30 13:55:40] Players: 7, RAMused: 73.1 MB
[1/30 13:52:40] Players: 7, RAMused: 73.5 MB
[1/30 13:49:40] Players: 6, RAMused: 73.34 MB
[1/30 13:46:40] Players: 7, RAMused: 73.58 MB
[1/30 13:43:40] Players: 8, RAMused: 73.23 MB
[1/30 13:40:40] Players: 7, RAMused: 72.33 MB
[1/30 13:37:40] Players: 7, RAMused: 71.8 MB
[1/30 13:34:40] Players: 8, RAMused: 71.62 MB
[1/30 13:31:40] Players: 9, RAMused: 72.16 MB
[1/30 13:28:40] Players: 10, RAMused: 71.8 MB
[1/30 13:25:40] Players: 9, RAMused: 70.05 MB
[1/30 13:22:40] Players: 9, RAMused: 68.22 MB
[1/30 13:19:40] Players: 9, RAMused: 67.7 MB
[1/30 13:16:40] Players: 10, RAMused: 66.92 MB
[1/30 13:13:40] Players: 9, RAMused: 65.96 MB
[1/30 13:10:40] Players: 8, RAMused: 64.35 MB
